NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana do Sul do Estado;ciclista;1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0
Região Metropolitana do Sudoeste Maranhense;ciclista;0;0;4;3;3;3;3;4;1;0;0;7;21;12;5;9;8;8;6;11;8
Região Metropolitana do Sertão;ciclista;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Região Metropolitana do São Francisco;ciclista;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
Região Metropolitana do Rio de Janeiro;ciclista;10;7;24;36;42;52;57;54;57;62;52;22;25;30;29;29;12;31;18;24;12
Região Metropolitana do Recife;ciclista;14;21;15;12;11;14;17;24;13;17;15;22;27;10;22;32;17;32;33;41;39
Região Metropolitana do Norte/Nordeste Catarinense;ciclista;38;31;56;51;48;42;27;29;31;36;40;36;29;31;40;37;25;22;20;35;34
Região Metropolitana do Médio Sertão;ciclista;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1
Região Metropolitana do Extremo Oeste;ciclista;0;0;2;5;3;1;4;2;3;4;4;1;0;1;5;3;2;1;1;1;2
Região Metropolitana do Contestado;ciclista;1;1;6;6;3;4;4;6;1;4;3;8;5;1;6;1;4;2;3;4;2
Região Metropolitana do Cariri;ciclista;6;8;6;6;6;4;3;3;1;8;37;2;1;6;4;0;0;2;3;4;1
Região Metropolitana do Alto Vale do Itajaí;ciclista;1;7;4;8;6;12;12;2;6;9;7;2;5;3;1;5;1;4;2;2;5
Região Metropolitana do Agreste;ciclista;0;1;0;1;2;2;3;3;4;8;5;5;3;4;2;1;5;5;11;5;9
Região Metropolitana de Umuarama;ciclista;5;6;1;8;6;6;5;1;5;0;8;8;8;6;5;5;3;1;5;5;2
Região Metropolitana de Tubarão;ciclista;2;2;1;12;10;7;9;14;5;6;7;8;8;10;8;3;12;10;5;7;8
Região Metropolitana de Toledo;ciclista;5;7;5;11;8;8;11;9;8;5;7;3;7;7;4;5;11;6;7;8;10
Região Metropolitana de Sousa;ciclista;0;0;0;1;1;1;0;2;1;3;1;2;3;0;1;1;0;0;0;0;0
Região Metropolitana de Sorocaba;ciclista;0;12;9;10;12;16;28;23;30;27;15;16;10;23;15;11;14;15;16;10;19
Região Metropolitana de Sobral;ciclista;18;14;24;9;8;10;11;8;4;7;13;6;7;5;12;12;12;15;18;13;11
Região Metropolitana de São Paulo;ciclista;7;44;24;32;38;54;112;79;89;87;70;87;74;55;83;49;49;53;30;54;65
Região Metropolitana de Santarém;ciclista;0;0;0;1;0;0;0;0;0;5;0;0;1;0;0;0;1;1;0;0;2
Região Metropolitana de Salvador;ciclista;0;0;1;1;0;13;16;17;3;4;5;10;7;9;10;10;5;8;5;9;5
Região Metropolitana de Ribeirão Preto;ciclista;1;4;4;6;2;5;22;16;24;20;17;27;14;20;13;20;11;17;14;13;20
Região Metropolitana de Porto Velho;ciclista;0;0;7;6;4;4;8;4;9;4;4;9;5;20;6;11;5;6;11;7;15
Região Metropolitana de Porto Alegre;ciclista;9;8;21;22;19;20;18;18;22;16;17;22;25;25;29;14;20;21;30;25;23
Região Metropolitana de Patos;ciclista;3;2;0;2;0;1;0;2;1;2;2;7;1;1;2;2;1;0;0;2;1
Região Metropolitana de Palmeira dos Índios;ciclista;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Região Metropolitana de Palmas;ciclista;8;10;18;15;7;6;13;11;7;10;6;4;8;8;4;6;7;7;4;8;10
Região Metropolitana de Natal;ciclista;2;8;5;6;6;6;5;4;5;1;9;9;2;5;4;5;8;8;3;3;5
Região Metropolitana de Maringá;ciclista;13;13;11;8;14;9;14;8;6;6;8;13;13;5;7;10;7;5;25;15;15
Região Metropolitana de Manaus;ciclista;10;4;3;5;4;5;2;0;6;1;5;6;5;3;1;3;2;10;5;8;4
Região Metropolitana de Maceió;ciclista;3;4;4;3;6;8;6;2;4;4;5;4;1;0;1;2;3;12;11;4;18
Região Metropolitana de Macapá;ciclista;1;0;3;1;4;3;2;0;2;0;0;0;2;1;13;12;8;12;7;9;5
Região Metropolitana de Londrina;ciclista;18;23;31;33;38;32;27;18;28;22;22;18;26;14;17;13;23;20;21;16;7
Região Metropolitana de Lages;ciclista;1;2;5;5;1;2;2;0;0;2;1;2;2;1;0;2;1;2;3;4;2
Região Metropolitana de João Pessoa;ciclista;3;2;4;5;2;5;3;4;10;5;5;4;3;6;2;5;11;7;9;7;1
Região Metropolitana de Itabaiana;ciclista;0;0;2;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1
Região Metropolitana de Gurupi;ciclista;1;2;2;4;0;2;3;5;1;0;0;0;1;0;1;2;1;3;3;4;1
Região Metropolitana de Guarabira;ciclista;1;0;0;0;0;1;0;0;0;0;3;0;0;1;2;1;1;0;1;0;1
Região Metropolitana de Goiânia;ciclista;31;29;51;29;54;71;51;63;44;40;28;28;41;41;48;26;39;44;46;29;22
Região Metropolitana de Fortaleza;ciclista;24;35;17;20;6;12;19;20;6;0;4;2;1;7;1;12;25;20;22;11;14
Região Metropolitana de Florianópolis;ciclista;12;9;11;10;11;11;8;10;11;5;10;4;25;8;15;10;6;9;10;12;16
Região Metropolitana de Feira de Santana;ciclista;0;0;0;0;0;1;1;0;3;1;0;0;1;1;0;0;0;2;1;1;1
