UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
CE;23;05266;Ibaretama;3394;948;0;131;15;179;27;0;0;9;1915;92;36;0;25;4;0;1;0;0;0;12
CE;23;05308;Ibiapina;9445;2820;0;249;4;652;76;0;21;27;4477;973;29;0;54;2;0;0;0;0;6;55
CE;23;05332;Ibicuitinga;4175;1025;0;117;17;239;31;0;2;20;2486;129;29;0;28;31;0;0;0;0;2;19
CE;23;05357;Icapuí;7783;1225;0;136;42;333;51;0;8;30;4628;1175;63;0;33;34;0;0;0;0;0;25
CE;23;05407;Icó;28155;5447;0;451;34;1410;229;0;28;149;16681;3358;112;0;148;45;0;0;0;0;2;61
CE;23;05506;Iguatu;59324;14155;0;1276;185;3486;707;0;529;113;30040;7364;204;0;522;327;2;4;0;0;15;395
CE;23;05605;Independência;11947;2073;0;272;9;956;76;0;1;21;7096;1295;43;0;56;12;0;1;0;0;2;34
CE;23;05654;Ipaporanga;4366;689;0;49;0;242;24;0;3;17;3040;272;12;0;10;0;0;0;0;0;1;7
CE;23;05704;Ipaumirim;9376;3499;0;296;17;977;169;0;2;68;3673;467;63;0;102;16;0;0;0;0;1;26
CE;23;05803;Ipu;17209;4076;0;398;15;1062;117;0;7;65;7909;3273;52;0;121;17;0;1;0;0;3;93
CE;23;05902;Ipueiras;13087;2615;0;151;1;1042;116;0;3;60;7954;998;29;0;76;1;0;1;0;0;1;39
CE;23;06009;Iracema;6000;883;0;71;4;266;38;0;3;17;4274;362;29;0;35;3;0;0;0;0;2;13
CE;23;06108;Irauçuba;6328;1374;0;139;3;291;61;0;2;48;3934;360;58;0;31;3;0;0;0;0;4;20
CE;23;06207;Itaiçaba;3561;880;0;43;1;171;29;0;20;7;2065;271;17;0;44;7;0;0;0;0;0;6
CE;23;06256;Itaitinga;18545;6708;0;668;217;1000;325;0;54;80;8054;582;122;0;265;307;1;2;0;1;3;156
CE;23;06306;Itapajé;19400;4373;0;417;17;1032;145;1;3;59;11881;1088;82;0;154;29;2;2;0;0;11;104
CE;23;06405;Itapipoca;47388;10686;0;1108;43;2936;441;1;57;123;26438;4512;164;0;422;71;5;5;0;0;12;364
CE;23;06504;Itapiúna;4635;1319;0;83;1;269;41;0;2;18;2671;147;44;0;27;3;0;0;0;0;3;7
CE;23;06553;Itarema;11290;2900;0;220;9;1362;130;0;4;30;5573;822;61;0;57;21;1;0;0;0;5;95
CE;23;06603;Itatira;5799;1587;0;209;6;337;51;0;4;22;3295;137;76;0;33;14;0;0;0;1;0;27
CE;23;06702;Jaguaretama;6605;1241;0;190;2;513;40;0;0;24;4170;331;31;0;35;2;1;0;0;0;3;22
CE;23;06801;Jaguaribara;5122;986;0;118;8;396;44;0;4;17;2801;647;21;0;55;12;0;0;0;0;2;11
CE;23;06900;Jaguaribe;16498;3291;0;486;57;1195;126;0;20;80;9477;1349;53;0;190;85;0;1;0;0;11;77
CE;23;07007;Jaguaruana;13966;2576;0;337;33;599;117;0;8;41;8329;1662;42;0;124;39;0;0;0;0;11;48
CE;23;07106;Jardim;10475;2562;0;204;11;962;128;0;11;101;5843;476;70;0;67;10;0;1;0;0;0;29
CE;23;07205;Jati;3226;1124;0;88;6;312;24;0;3;212;1227;131;26;0;44;14;0;0;0;0;0;15
CE;23;07254;Jijoca de Jericoacoara;11764;2557;0;130;3;1699;210;0;1;26;5665;942;33;1;89;5;0;0;0;0;6;397
CE;23;07304;Juazeiro do Norte;143125;46387;0;2337;227;9356;1993;0;1179;278;63921;13129;417;0;1896;403;20;13;0;3;41;1525
CE;23;07403;Jucás;8099;1349;0;140;4;470;53;0;12;12;5178;738;46;0;60;9;0;1;0;0;3;24
CE;23;07502;Lavras da Mangabeira;8459;1965;0;171;15;483;83;0;1;34;5130;399;69;0;61;17;0;0;0;0;1;30
CE;23;07601;Limoeiro do Norte;37251;9641;0;918;278;1828;355;0;69;54;15817;7020;210;0;482;322;4;1;0;0;4;248
CE;23;07635;Madalena;5433;1284;0;175;5;268;37;0;9;23;3341;166;50;0;42;6;0;0;0;0;1;26
CE;23;07650;Maracanaú;90082;38928;0;2995;762;5138;1838;1;419;282;33998;1161;514;0;1589;1350;0;8;0;7;40;1052
CE;23;07700;Maranguape;33339;13769;0;757;59;1936;680;3;60;177;14186;403;368;0;480;70;2;4;0;0;17;368
CE;23;07809;Marco;9351;2101;0;394;54;900;92;0;2;18;4961;499;31;0;85;95;0;0;0;0;16;103
CE;23;07908;Martinópole;2847;521;0;40;2;185;27;0;0;25;1728;292;4;0;10;2;0;0;0;0;2;9
CE;23;08005;Massapê;11751;2313;0;149;20;456;68;0;9;59;7116;1292;157;0;41;31;0;0;0;0;0;40
CE;23;08104;Mauriti;14588;3718;0;223;19;1193;95;0;15;76;8193;776;91;0;122;19;0;0;0;0;7;41
CE;23;08203;Meruoca;5074;901;0;69;7;283;30;0;0;23;3068;603;47;0;19;5;0;0;0;0;0;19
CE;23;08302;Milagres;8313;2722;0;139;4;493;93;0;8;95;3888;612;47;0;182;11;0;0;0;0;1;18
CE;23;08351;Milhã;5909;1049;0;101;3;322;31;0;2;11;4122;182;36;0;29;3;0;0;0;0;1;17
CE;23;08377;Miraíma;2813;542;0;37;0;167;13;0;1;7;1902;117;12;0;9;0;0;0;0;0;0;6
CE;23;08401;Missão Velha;14710;3840;0;323;56;1313;101;0;18;68;7799;364;58;0;639;72;0;3;0;0;5;51
CE;23;08500;Mombaça;14584;3164;0;289;4;968;194;0;15;61;8611;1072;57;0;67;6;0;1;0;0;6;69
CE;23;08609;Monsenhor Tabosa;6564;1228;0;94;0;349;52;0;0;15;4389;376;15;0;22;1;0;0;0;0;0;23
CE;23;08708;Morada Nova;30240;7755;0;715;72;1687;338;0;53;91;15272;3506;194;0;322;93;0;2;0;0;4;136
CE;23;08807;Moraújo;2549;532;0;32;0;141;16;0;1;8;1611;177;13;0;8;0;0;0;0;0;2;8
CE;23;08906;Morrinhos;6309;1566;0;164;4;454;39;0;1;16;3213;725;29;0;36;17;0;0;0;0;4;41
CE;23;09003;Mucambo;5422;924;0;54;0;259;28;0;1;19;3033;1033;23;0;30;0;0;0;0;0;0;18
CE;23;09102;Mulungu;2885;651;0;88;2;168;16;0;0;7;1769;127;15;0;22;1;0;0;0;0;0;19
CE;23;09201;Nova Olinda;5080;1224;0;134;16;355;53;0;4;30;2807;355;18;0;51;17;0;0;0;0;1;15
CE;23;09300;Nova Russas;14269;3281;0;243;3;707;114;0;51;60;8163;1428;44;0;92;4;0;0;0;0;4;75
CE;23;09409;Novo Oriente;13851;2428;0;113;4;822;104;0;3;54;8437;1739;39;0;67;5;0;1;0;0;3;32
CE;23;09458;Ocara;8559;2776;0;214;17;540;71;0;3;13;4478;232;70;0;104;15;0;0;0;0;0;26
CE;23;09508;Orós;7443;1460;0;154;12;609;63;0;2;23;4375;616;38;0;34;29;0;1;0;0;1;26
CE;23;09607;Pacajus;30400;12450;0;843;109;1692;598;0;203;119;10815;2318;181;0;625;162;3;2;0;0;7;273
CE;23;09706;Pacatuba;22228;9473;0;422;55;1013;427;1;144;99;9542;298;109;0;342;92;1;2;0;0;14;194
CE;23;09805;Pacoti;3747;852;0;110;4;230;26;0;2;4;2354;90;24;0;25;7;0;1;0;0;1;17
CE;23;09904;Pacujá;2109;410;0;28;18;104;3;1;2;5;1233;257;11;0;12;19;0;0;0;0;1;5
CE;23;10001;Palhano;4515;1007;0;110;4;253;57;0;2;21;2671;287;15;0;56;14;0;0;0;0;10;8
CE;23;10100;Palmácia;2373;599;0;51;0;151;19;0;1;14;1455;45;15;0;16;0;0;0;0;0;0;7
CE;23;10209;Paracuru;11973;4683;0;276;26;819;210;0;87;33;4952;451;64;0;172;54;2;2;0;0;9;133
CE;23;10258;Paraipaba;10996;3248;0;392;37;671;113;0;15;19;5489;665;54;0;139;56;0;0;0;0;5;93
CE;23;10308;Parambu;12454;2282;0;270;14;761;46;0;1;20;7751;1180;31;0;51;25;0;1;0;0;1;20
CE;23;10407;Paramoti;3408;782;0;79;1;209;24;0;6;14;2173;65;27;0;16;0;0;1;0;0;1;10
CE;23;10506;Pedra Branca;17205;3175;0;573;6;959;131;0;3;61;10845;1218;61;0;90;10;0;1;0;0;5;67
CE;23;10605;Penaforte;4118;1087;0;133;4;331;41;0;3;56;2188;177;30;0;47;8;0;0;0;0;3;10
CE;23;10704;Pentecoste;15099;3692;0;375;13;856;143;0;7;43;8280;1335;58;0;154;19;2;3;0;0;2;117
CE;23;10803;Pereiro;12349;2791;0;133;9;872;28;0;4;27;8089;284;44;0;24;12;0;1;0;0;2;29
CE;23;10852;Pindoretama;7070;2900;0;234;9;554;104;0;20;30;2783;133;39;0;150;24;1;4;0;0;0;85
CE;23;10902;Piquet Carneiro;4965;961;0;69;5;324;41;0;2;8;3244;212;20;0;59;7;0;0;0;0;1;12
CE;23;10951;Pires Ferreira;2694;574;0;40;0;145;14;0;5;15;1621;257;7;0;5;0;0;0;0;0;0;11
CE;23;11009;Poranga;4104;686;0;41;0;380;33;0;2;13;2557;349;12;0;13;1;0;0;0;0;0;17
CE;23;11108;Porteiras;5440;1381;0;85;2;502;54;0;3;419;2617;227;91;0;44;2;0;0;0;0;0;13
